County	Collections	Data_Period_Business_Key
Carteret	4444672.0	2019M12
Carteret	4901921.0	2020M01
Carteret	4133573.0	2020M02
Caswell	254118.0	2018M10
Caswell	275090.0	2018M11
Caswell	294114.0	2018M12
Caswell	329534.0	2019M01
Caswell	284915.0	2019M02
Caswell	271717.0	2019M03
Caswell	348418.0	2019M04
Caswell	290109.0	2019M05
Caswell	294796.0	2019M06
Caswell	307180.0	2019M07
Caswell	288054.0	2019M08
Caswell	287392.0	2019M09
Caswell	305269.0	2019M10
Caswell	292671.0	2019M11
Caswell	309641.0	2019M12
Caswell	356524.0	2020M01
Caswell	268185.0	2020M02
Catawba	9370311.0	2018M10
Catawba	9384444.0	2018M11
Catawba	9967857.0	2018M12
Catawba	11067427.0	2019M01
Catawba	8543438.0	2019M02
Catawba	8850256.0	2019M03
Catawba	11179901.0	2019M04
Catawba	10194151.0	2019M05
Catawba	10220766.0	2019M06
Catawba	10506453.0	2019M07
Catawba	9745492.0	2019M08
Catawba	9935575.0	2019M09
Catawba	10063782.0	2019M10
Catawba	10011995.0	2019M11
Catawba	10390410.0	2019M12
Catawba	11760184.0	2020M01
Catawba	8993061.0	2020M02
Chatham	2519211.0	2018M10
Chatham	2738509.0	2018M11
Chatham	2790236.0	2018M12
Chatham	2900375.0	2019M01
Chatham	2303396.0	2019M02
Chatham	2217311.0	2019M03
Chatham	2664493.0	2019M04
Chatham	2632410.0	2019M05
Chatham	2800201.0	2019M06
Chatham	2843116.0	2019M07
Chatham	2748881.0	2019M08
Chatham	2788330.0	2019M09
Chatham	3025981.0	2019M10
Chatham	2869667.0	2019M11
Chatham	2911491.0	2019M12
Chatham	3421212.0	2020M01
Chatham	2575785.0	2020M02
Cherokee	1417193.0	2018M10
Cherokee	1372364.0	2018M11
Cherokee	1343252.0	2018M12
Cherokee	1421812.0	2019M01
Cherokee	1095827.0	2019M02
Cherokee	1086538.0	2019M03
Cherokee	1456267.0	2019M04
Cherokee	1290841.0	2019M05
Cherokee	1422104.0	2019M06
Cherokee	1508518.0	2019M07
Cherokee	1406620.0	2019M08
Cherokee	1360771.0	2019M09
Cherokee	1483443.0	2019M10
Cherokee	1400104.0	2019M11
Cherokee	1400763.0	2019M12
Cherokee	1641683.0	2020M01
Cherokee	1192849.0	2020M02
Chowan	493146.0	2018M10
Chowan	548372.0	2018M11
Chowan	536832.0	2018M12
Chowan	570898.0	2019M01
Chowan	494546.0	2019M02
Chowan	497192.0	2019M03
Chowan	573234.0	2019M04
Chowan	537985.0	2019M05
Chowan	587221.0	2019M06
Chowan	549045.0	2019M07
Chowan	555485.0	2019M08
Chowan	529455.0	2019M09
Chowan	525551.0	2019M10
Chowan	585076.0	2019M11
Chowan	548635.0	2019M12
Chowan	641542.0	2020M01
Chowan	524903.0	2020M02
Clay	336773.0	2018M10
Clay	330208.0	2018M11
Clay	321926.0	2018M12
Clay	347546.0	2019M01
Clay	296725.0	2019M02
Clay	291686.0	2019M03
Clay	392122.0	2019M04
Clay	372654.0	2019M05
Clay	360078.0	2019M06
Clay	400466.0	2019M07
Clay	374806.0	2019M08
Clay	381484.0	2019M09
Clay	399405.0	2019M10
Clay	407827.0	2019M11
Clay	360749.0	2019M12
Clay	445371.0	2020M01
Clay	329196.0	2020M02
Cleveland	3992401.0	2018M10
Cleveland	4108404.0	2018M11
Cleveland	4078110.0	2018M12
Cleveland	4347424.0	2019M01
Cleveland	3689696.0	2019M02
Cleveland	3712024.0	2019M03
Cleveland	4409726.0	2019M04
Cleveland	4156086.0	2019M05
Cleveland	4026832.0	2019M06
Cleveland	3973638.0	2019M07
Cleveland	3830056.0	2019M08
Cleveland	4046429.0	2019M09
Cleveland	3978877.0	2019M10
Cleveland	3924955.0	2019M11
Cleveland	3905321.0	2019M12
Cleveland	4420063.0	2020M01
Cleveland	3575540.0	2020M02
Columbus	1504607.0	2018M10
Columbus	1688498.0	2018M11
Columbus	1881876.0	2018M12
Columbus	1932096.0	2019M01
Columbus	1361913.0	2019M02
Columbus	1637972.0	2019M03
Columbus	1920909.0	2019M04
Columbus	1760856.0	2019M05
Columbus	1800101.0	2019M06
Columbus	1884550.0	2019M07
Columbus	1702014.0	2019M08
Columbus	1622159.0	2019M09
Columbus	1670932.0	2019M10
Columbus	1618462.0	2019M11
Columbus	1560925.0	2019M12
Columbus	1963404.0	2020M01
Columbus	1558497.0	2020M02
Craven	4314586.0	2018M10
Craven	5481628.0	2018M11
Craven	5305471.0	2018M12
Craven	5785590.0	2019M01
Craven	4614732.0	2019M02
Craven	4538127.0	2019M03
Craven	5625888.0	2019M04
Craven	5289448.0	2019M05
Craven	5536129.0	2019M06
Craven	5393555.0	2019M07
Craven	4920166.0	2019M08
Craven	4983579.0	2019M09
Craven	5044208.0	2019M10
Craven	5003205.0	2019M11
Craven	5016481.0	2019M12
Craven	5552533.0	2020M01
Craven	4684299.0	2020M02
Cumberland	15512335.0	2018M10
Cumberland	17068124.0	2018M11
Cumberland	17710266.0	2018M12
Cumberland	19807269.0	2019M01
Cumberland	14929999.0	2019M02
Cumberland	16239375.0	2019M03
Cumberland	18991088.0	2019M04
Cumberland	17558596.0	2019M05
Cumberland	17978381.0	2019M06
Cumberland	18299729.0	2019M07
Cumberland	17024638.0	2019M08
Cumberland	17140511.0	2019M09
Cumberland	17232914.0	2019M10
Cumberland	17163767.0	2019M11
Cumberland	17327520.0	2019M12
Cumberland	19892686.0	2020M01
Cumberland	15464729.0	2020M02
Currituck	2345950.0	2018M10
Currituck	1375916.0	2018M11
Currituck	1087210.0	2018M12
Currituck	1025980.0	2019M01
Currituck	954419.0	2019M02
Currituck	923985.0	2019M03
Currituck	1209964.0	2019M04
Currituck	1490774.0	2019M05
Currituck	2040076.0	2019M06
Currituck	4205357.0	2019M07
Currituck	4813200.0	2019M08
Currituck	4864742.0	2019M09
Currituck	2263068.0	2019M10
Currituck	1503910.0	2019M11
Currituck	1162204.0	2019M12
Currituck	1288247.0	2020M01
Currituck	1189407.0	2020M02
Dare	6542087.0	2018M10
Dare	4932146.0	2018M11
Dare	3719123.0	2018M12
Dare	3518081.0	2019M01
Dare	3026989.0	2019M02
Dare	2831112.0	2019M03
Dare	4266897.0	2019M04
Dare	5501100.0	2019M05
Dare	7096777.0	2019M06
Dare	11321288.0	2019M07
Dare	13178541.0	2019M08
Dare	11799596.0	2019M09
Dare	6834818.0	2019M10
Dare	5191614.0	2019M11
Dare	3874539.0	2019M12
Dare	3809146.0	2020M01
Dare	3323370.0	2020M02
Davidson	5284465.0	2018M10
Davidson	5318227.0	2018M11
Davidson	5701357.0	2018M12
Davidson	6386164.0	2019M01
Davidson	5072431.0	2019M02
Davidson	5488635.0	2019M03
Davidson	6625264.0	2019M04
Davidson	6019738.0	2019M05
Davidson	6104563.0	2019M06
Davidson	6152100.0	2019M07
Davidson	6218852.0	2019M08
Davidson	6149346.0	2019M09
Davidson	5988996.0	2019M10
Davidson	5834532.0	2019M11
Davidson	5873484.0	2019M12
Davidson	6847981.0	2020M01
Davidson	5765032.0	2020M02
Davie	1380761.0	2018M10
Davie	1497668.0	2018M11
Davie	1537943.0	2018M12
Davie	1609324.0	2019M01
Davie	1349130.0	2019M02
Davie	1278895.0	2019M03
Davie	1644842.0	2019M04
Davie	1526819.0	2019M05
Davie	1581204.0	2019M06
Davie	1626925.0	2019M07
Davie	1535925.0	2019M08
Davie	1524087.0	2019M09
Davie	1648986.0	2019M10
Davie	1635003.0	2019M11
Davie	1615433.0	2019M12
Davie	1865236.0	2020M01
Davie	1426102.0	2020M02
Duplin	1569747.0	2018M10
Duplin	1836352.0	2018M11
Duplin	1905668.0	2018M12
Duplin	1897192.0	2019M01
Duplin	1638953.0	2019M02
Duplin	1880336.0	2019M03
Duplin	1955587.0	2019M04
Duplin	1931598.0	2019M05
Duplin	1908638.0	2019M06
Duplin	1924283.0	2019M07
