	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
162	39015	BrownCounty	Utilities	2001	2532.0
163	39015	BrownCounty	Construction	2001	36501.0
164	39015	BrownCounty	Manufacturing	2001	46597.0
165	39015	BrownCounty	Wholesale trade	2001	11579.0
166	39015	BrownCounty	Retail trade	2001	35150.0
167	39015	BrownCounty	Transportation and warehousing	2001	
168	39015	BrownCounty	Information	2001	5928.0
169	39015	BrownCounty	Finance and insurance	2001	30317.0
170	39015	BrownCounty	Real estate and rental and leasing	2001	79064.0
171	39015	BrownCounty	Professional and business services	2001	38053.0
172	39015	BrownCounty	Management of companies and enterprises	2001	17967.0
173	39015	BrownCounty	Administrative and support and waste management and remediation services	2001	11276.0
174	39015	BrownCounty	Educational services	2001	2557.0
175	39015	BrownCounty	Health care and social assistance	2001	31131.0
176	39015	BrownCounty	Arts, entertainment, and recreation	2001	1529.0
177	39015	BrownCounty	Accommodation and food services	2001	10561.0
178	39015	BrownCounty	Other services (except government and government enterprises)	2001	22756.0
179	39015	BrownCounty	Government and government enterprises	2001	105555.0
180	39017	ButlerCounty	Agriculture, forestry, fishing and hunting	2001	24060.0
181	39017	ButlerCounty	Mining, quarrying, and oil and gas extraction	2001	16322.0
182	39017	ButlerCounty	Utilities	2001	52219.0
183	39017	ButlerCounty	Construction	2001	576573.0
184	39017	ButlerCounty	Manufacturing	2001	1814608.0
185	39017	ButlerCounty	Wholesale trade	2001	1011762.0
186	39017	ButlerCounty	Retail trade	2001	721834.0
187	39017	ButlerCounty	Transportation and warehousing	2001	300090.0
188	39017	ButlerCounty	Information	2001	100380.0
189	39017	ButlerCounty	Finance and insurance	2001	768976.0
190	39017	ButlerCounty	Real estate and rental and leasing	2001	1091168.0
191	39017	ButlerCounty	Professional and business services	2001	606589.0
192	39017	ButlerCounty	Management of companies and enterprises	2001	30128.0
193	39017	ButlerCounty	Administrative and support and waste management and remediation services	2001	229744.0
194	39017	ButlerCounty	Educational services	2001	22183.0
195	39017	ButlerCounty	Health care and social assistance	2001	571698.0
196	39017	ButlerCounty	Arts, entertainment, and recreation	2001	32070.0
197	39017	ButlerCounty	Accommodation and food services	2001	211036.0
198	39017	ButlerCounty	Other services (except government and government enterprises)	2001	248617.0
199	39017	ButlerCounty	Government and government enterprises	2001	1076581.0
200	39019	CarrollCounty	Agriculture, forestry, fishing and hunting	2001	26591.0
201	39019	CarrollCounty	Mining, quarrying, and oil and gas extraction	2001	7738.0
202	39019	CarrollCounty	Utilities	2001	2539.0
203	39019	CarrollCounty	Construction	2001	29077.0
204	39019	CarrollCounty	Manufacturing	2001	94063.0
205	39019	CarrollCounty	Wholesale trade	2001	13417.0
206	39019	CarrollCounty	Retail trade	2001	30175.0
207	39019	CarrollCounty	Transportation and warehousing	2001	
208	39019	CarrollCounty	Information	2001	9966.0
209	39019	CarrollCounty	Finance and insurance	2001	17666.0
210	39019	CarrollCounty	Real estate and rental and leasing	2001	55134.0
211	39019	CarrollCounty	Professional and business services	2001	
212	39019	CarrollCounty	Management of companies and enterprises	2001	
213	39019	CarrollCounty	Administrative and support and waste management and remediation services	2001	4701.0
214	39019	CarrollCounty	Educational services	2001	
215	39019	CarrollCounty	Health care and social assistance	2001	
216	39019	CarrollCounty	Arts, entertainment, and recreation	2001	2498.0
217	39019	CarrollCounty	Accommodation and food services	2001	8024.0
218	39019	CarrollCounty	Other services (except government and government enterprises)	2001	16199.0
219	39019	CarrollCounty	Government and government enterprises	2001	46926.0
220	39021	ChampaignCounty	Agriculture, forestry, fishing and hunting	2001	27127.0
221	39021	ChampaignCounty	Mining, quarrying, and oil and gas extraction	2001	863.0
222	39021	ChampaignCounty	Utilities	2001	207.0
223	39021	ChampaignCounty	Construction	2001	17862.0
224	39021	ChampaignCounty	Manufacturing	2001	290499.0
225	39021	ChampaignCounty	Wholesale trade	2001	21607.0
226	39021	ChampaignCounty	Retail trade	2001	55221.0
227	39021	ChampaignCounty	Transportation and warehousing	2001	
228	39021	ChampaignCounty	Information	2001	11055.0
229	39021	ChampaignCounty	Finance and insurance	2001	42833.0
230	39021	ChampaignCounty	Real estate and rental and leasing	2001	114617.0
231	39021	ChampaignCounty	Professional and business services	2001	
