	GeoArea_FIPS	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
108	37009	AsheCounty	Northwest	High Country	Information	2001	8090.0
109	37009	AsheCounty	Northwest	High Country	Finance and insurance	2001	31533.0
110	37009	AsheCounty	Northwest	High Country	Real estate and rental and leasing	2001	61116.0
111	37009	AsheCounty	Northwest	High Country	Professional and business services	2001	16012.0
112	37009	AsheCounty	Northwest	High Country	Management of companies and enterprises	2001	
113	37009	AsheCounty	Northwest	High Country	Administrative and support and waste management and remediation services	2001	
114	37009	AsheCounty	Northwest	High Country	Educational services	2001	
115	37009	AsheCounty	Northwest	High Country	Health care and social assistance	2001	
116	37009	AsheCounty	Northwest	High Country	Arts, entertainment, and recreation	2001	4404.0
117	37009	AsheCounty	Northwest	High Country	Accommodation and food services	2001	9327.0
118	37009	AsheCounty	Northwest	High Country	Other services (except government and government enterprises)	2001	16755.0
119	37009	AsheCounty	Northwest	High Country	Government and government enterprises	2001	49607.0
120	37011	AveryCounty	Northwest	High Country	Agriculture, forestry, fishing and hunting	2001	49999.0
121	37011	AveryCounty	Northwest	High Country	Mining, quarrying, and oil and gas extraction	2001	93.0
122	37011	AveryCounty	Northwest	High Country	Utilities	2001	
123	37011	AveryCounty	Northwest	High Country	Construction	2001	30499.0
124	37011	AveryCounty	Northwest	High Country	Manufacturing	2001	14841.0
125	37011	AveryCounty	Northwest	High Country	Wholesale trade	2001	
126	37011	AveryCounty	Northwest	High Country	Retail trade	2001	25708.0
127	37011	AveryCounty	Northwest	High Country	Transportation and warehousing	2001	7682.0
128	37011	AveryCounty	Northwest	High Country	Information	2001	5449.0
129	37011	AveryCounty	Northwest	High Country	Finance and insurance	2001	12803.0
130	37011	AveryCounty	Northwest	High Country	Real estate and rental and leasing	2001	88459.0
131	37011	AveryCounty	Northwest	High Country	Professional and business services	2001	14154.0
132	37011	AveryCounty	Northwest	High Country	Management of companies and enterprises	2001	
133	37011	AveryCounty	Northwest	High Country	Administrative and support and waste management and remediation services	2001	5999.0
134	37011	AveryCounty	Northwest	High Country	Educational services	2001	
135	37011	AveryCounty	Northwest	High Country	Health care and social assistance	2001	
136	37011	AveryCounty	Northwest	High Country	Arts, entertainment, and recreation	2001	18407.0
137	37011	AveryCounty	Northwest	High Country	Accommodation and food services	2001	18727.0
138	37011	AveryCounty	Northwest	High Country	Other services (except government and government enterprises)	2001	14813.0
139	37011	AveryCounty	Northwest	High Country	Government and government enterprises	2001	51513.0
140	37013	BeaufortCounty	Northeast	Region Q	Agriculture, forestry, fishing and hunting	2001	55255.0
141	37013	BeaufortCounty	Northeast	Region Q	Mining, quarrying, and oil and gas extraction	2001	32.0
142	37013	BeaufortCounty	Northeast	Region Q	Utilities	2001	6093.0
143	37013	BeaufortCounty	Northeast	Region Q	Construction	2001	46321.0
144	37013	BeaufortCounty	Northeast	Region Q	Manufacturing	2001	537888.0
145	37013	BeaufortCounty	Northeast	Region Q	Wholesale trade	2001	50052.0
146	37013	BeaufortCounty	Northeast	Region Q	Retail trade	2001	73755.0
147	37013	BeaufortCounty	Northeast	Region Q	Transportation and warehousing	2001	
148	37013	BeaufortCounty	Northeast	Region Q	Information	2001	18995.0
149	37013	BeaufortCounty	Northeast	Region Q	Finance and insurance	2001	47947.0
150	37013	BeaufortCounty	Northeast	Region Q	Real estate and rental and leasing	2001	100590.0
151	37013	BeaufortCounty	Northeast	Region Q	Professional and business services	2001	
152	37013	BeaufortCounty	Northeast	Region Q	Management of companies and enterprises	2001	
153	37013	BeaufortCounty	Northeast	Region Q	Administrative and support and waste management and remediation services	2001	13098.0
154	37013	BeaufortCounty	Northeast	Region Q	Educational services	2001	2452.0
155	37013	BeaufortCounty	Northeast	Region Q	Health care and social assistance	2001	78369.0
