,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
56," ""37055""","Dare, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,49717,55441,60636,67355,74127,73273,64951,56551,45265,40015,40834,43380,45409,47601,54822,58721,64648,59131
57," ""37055""","Dare, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,19039,20686,22800,24173,25478,22673,20071,16588,11892,9595,10671,9512,10723,12252,14405,16574,14839,13503
58," ""37057""","Davidson, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,79552,76860,82661,89052,91930,103423,107145,97242,77424,70969,69936,69891,70421,74647,84411,93515,102350,114399
59," ""37057""","Davidson, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,11167,10605,10606,10815,12010,11555,12169,9506,8340,7609,7790,8361,9624,11554,14856,14593,15686,19404
60," ""37059""","Davie, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,19708,18599,18774,21292,21784,28095,28808,27047,20676,22399,21416,20883,22042,26881,29211,32139,33568,39180
61," ""37059""","Davie, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,6579,6097,4999,5626,4442,4728,5264,4166,3559,5696,4888,5364,5535,6412,7031,6707,6989,7698
62," ""37061""","Duplin, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,17790,17372,17273,18842,21095,21905,24399,24551,18957,21135,(D),24312,25107,24548,25423,26999,30727,31475
63," ""37061""","Duplin, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,5494,5414,5692,5210,5246,5334,5369,5591,4319,3577,4302,4412,4071,3793,3020,3329,3912,3828
64," ""37063""","Durham, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,268391,246214,250818,268832,257175,287630,331040,353680,302244,262182,267226,255392,244850,268609,288541,318907,338439,370966
65," ""37063""","Durham, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,61864,60230,50640,54368,54739,64454,75501,82181,72152,67201,70023,77443,67153,83064,93903,100680,111214,119315
66," ""37065""","Edgecombe, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,100201,85665,84409,84740,64845,63340,42582,41995,38614,36285,36989,39687,36221,38561,26817,28791,30455,30585
67," ""37065""","Edgecombe, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,(D),(D),(D),(D),(D),(D),5561,5074,3387,3961,3277,4432,3507,(D),4108,4503,(D),5055
68," ""37067""","Forsyth, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,369288,339767,335207,345391,373972,401884,426794,411787,352312,323895,310068,316688,305023,317087,346033,390743,403503,427795
69," ""37067""","Forsyth, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,104386,93177,97278,104254,114670,120545,124327,118840,97115,84823,74591,77772,77070,77446,83172,92785,95268,106123
70," ""37069""","Franklin, NC",5.0,CAINC6N,400.0,23,   Construction,Thousands of dollars,31128,29779,30958,36125,38340,45384,53393,50933,42490,38547,36399,36174,37912,43678,41599,48279,56393,62037
71," ""37069""","Franklin, NC",5.0,CAINC6N,401.0,236,    Construction of buildings,Thousands of dollars,9773,7687,6647,7290,6801,7754,9489,7505,5812,4415,3619,3612,3793,4573,4995,6609,7373,9558
