,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
171," ""37169""","Stokes, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172," ""37171""","Surry, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),2539,2760,(D),(D),(D),(D),(D),(D),4947,4534,4250,4004,3913,(D),(D),(D)
173," ""37171""","Surry, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
174," ""37173""","Swain, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175," ""37173""","Swain, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176," ""37175""","Transylvania, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),513,240,320,(D)
177," ""37175""","Transylvania, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
178," ""37177""","Tyrrell, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179," ""37177""","Tyrrell, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180," ""37179""","Union, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
181," ""37179""","Union, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
182," ""37181""","Vance, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
183," ""37181""","Vance, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
184," ""37183""","Wake, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,71075,39090,15720,58907,86417,99047,110196,71359,71828,17719,18073,17493,17889,19376,21622,21225,23670,23903
185," ""37183""","Wake, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),38900,15413,(D),(D),(D),109365,(D),(D),(D),17638,16665,(D),(D),(D),(D),(D),(D)
186," ""37185""","Warren, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187," ""37185""","Warren, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188," ""37187""","Washington, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189," ""37187""","Washington, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190," ""37189""","Watauga, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),1137,(D),1809,1798,1926,1651,1432,1116,1586,1510,1639,(D),1760,1567,1621,1634,1494
191," ""37189""","Watauga, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
192," ""37191""","Wayne, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
193," ""37191""","Wayne, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
194," ""37193""","Wilkes, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
195," ""37193""","Wilkes, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
196," ""37195""","Wilson, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2137,(D),1940,2160,2154,(D),(D)
197," ""37195""","Wilson, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
198," ""37197""","Yadkin, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199," ""37197""","Yadkin, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200," ""37199""","Yancey, NC",5.0,CAINC6N,200.0,21,"   Mining, quarrying, and oil and gas extraction",Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
201," ""37199""","Yancey, NC",5.0,CAINC6N,202.0,212,    Mining (except oil and gas),Thousands of dollars,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
