,GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
47," ""37045""","Cleveland, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1918,2039,1847,1897,1966,2205,2365,2311,2059,2243,1972,2188,2685,3070,3601,3532,3820,4827
48," ""37047""","Columbus, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,11879,10445,11910,12751,11455,11695,13568,14380,15280,15100,(D),(D),18441,18991,19236,19642,21427,22717
49," ""37047""","Columbus, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,189,(D),646,577,538,783,793,910,721,696,(D),(D),1220,1282,1360,1266,1422,1560
50," ""37049""","Craven, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,36376,38545,42053,45666,47318,54026,60785,64479,63944,58468,61735,65429,65786,68244,73889,81240,79118,80433
51," ""37049""","Craven, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,5808,5508,5764,6232,7147,8237,8596,8900,6973,6323,6737,7841,7694,8240,8441,8594,8578,8944
52," ""37051""","Cumberland, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,134833,145961,158329,170404,174188,186782,197489,216853,218603,217819,225339,241907,246615,259859,262710,273868,286922,297477
53," ""37051""","Cumberland, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,15645,18103,20142,22377,20361,22160,23451,26404,26136,27279,24781,26498,28123,30821,32539,32554,34420,33841
54," ""37053""","Currituck, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,7369,8686,9919,9021,10056,11415,12161,11902,11208,10911,11235,12991,15029,16295,17181,19229,20241,23121
55," ""37053""","Currituck, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,761,1110,1432,1512,1607,1740,1754,1700,(D),(D),581,1816,2195,2078,2066,1891,1723,1870
56," ""37055""","Dare, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,75282,81181,84449,89577,89207,94624,100179,101697,100665,102530,105605,117667,120713,127794,136914,139131,143940,149692
57," ""37055""","Dare, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,19024,20566,20050,19728,18497,25671,28107,29422,27716,28650,29053,32444,31672,34027,36335,36985,37314,39329
58," ""37057""","Davidson, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,41783,44009,45332,47258,50042,51084,53026,53132,53751,54206,57079,62599,63619,66388,68396,70176,71487,73401
59," ""37057""","Davidson, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,2272,1736,1829,2060,2181,2243,2206,2418,2279,1688,1842,1600,2082,2191,2196,2238,2523,2478
60," ""37059""","Davie, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,7766,8811,9991,11557,11465,12334,13617,13799,12997,12614,13547,14799,15800,16469,17573,19803,19745,19675
61," ""37059""","Davie, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,692,834,841,703,(D),(D),1423,1654,988,(D),1197,1328,1453,1640,1814,1891,1816,2019
62," ""37061""","Duplin, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,11315,14122,15713,15752,15559,14691,14269,14489,14835,15821,15487,17629,18095,(D),20401,20070,20415,(D)
63," ""37061""","Duplin, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1231,3027,3296,3462,2948,1150,1207,1110,1050,1045,535,696,774,(D),462,401,524,(D)
64," ""37063""","Durham, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,183315,201157,216069,232985,236845,245706,264359,285264,275949,284849,295033,314424,323534,352026,372726,395103,412606,425783
65," ""37063""","Durham, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,50162,55977,57104,63715,61326,62371,65811,72528,63340,60816,61006,60255,60816,61158,69062,69785,79115,80417
66," ""37065""","Edgecombe, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,15473,15719,15422,17449,17627,18265,17554,17954,14823,15349,15595,17905,17441,18824,18078,20223,18361,18424
67," ""37065""","Edgecombe, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,549,570,580,738,641,894,733,(D),685,(D),282,(D),531,(D),(D),(D),522,702
68," ""37067""","Forsyth, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,213536,221462,234052,243010,248221,255321,268377,281091,276807,277279,292859,317067,320986,339689,362888,389962,412016,432677
69," ""37067""","Forsyth, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,41347,36730,36678,38385,37810,36322,34767,40159,39569,38629,39998,42407,42691,43673,47844,49321,48367,52450
70," ""37069""","Franklin, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,5063,5527,6388,6843,7154,7660,8166,8670,9381,9706,10368,11386,10490,11964,13234,13734,14385,15231
71," ""37069""","Franklin, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),297,307,301,300,284,302,294,289,380,371,337,284,295,301,308,321,357
72," ""37071""","Gaston, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,70716,72669,78268,82263,84765,89101,95587,96948,97344,97480,101424,110914,122084,132110,137839,148257,155661,162947
73," ""37071""","Gaston, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,3202,3374,3247,4066,4197,4706,4511,4662,4270,4473,5548,5186,5951,7236,7135,7633,8336,7888
74," ""37073""","Gates, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,809,877,902,1010,995,1008,950,881,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
75," ""37073""","Gates, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76," ""37075""","Graham, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,3589,3923,(D),(D),4879,7007,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
77," ""37075""","Graham, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,2783,2850,2949,2817,3377,5065,(D),4879,3915,3977,(D),4109,(D),(D),(D),5354,(D),5922
78," ""37077""","Granville, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,9640,10593,12127,12340,12413,12421,14487,13497,13458,13836,14349,15170,16385,15881,16886,18083,19428,20453
79," ""37077""","Granville, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1022,974,1069,1012,1055,898,2403,1643,1263,1115,1257,1206,1009,1056,1113,1252,1430,1659
80," ""37079""","Greene, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,1256,1461,1670,1870,(D),(D),(D),(D),(D),(D),(D),3169,(D),2908,(D),(D),(D),(D)
81," ""37079""","Greene, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82," ""37081""","Guilford, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,315292,336274,358083,383079,389698,407630,441217,444705,413541,405806,428798,457145,470140,498305,536437,563746,588014,615491
83," ""37081""","Guilford, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,55179,62500,62948,68149,70503,70853,77026,77638,64728,65745,66109,70468,71787,78244,95561,97888,107662,113947
84," ""37083""","Halifax, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,21658,22991,23354,25222,24585,26849,28842,29031,29242,34106,30802,31039,31445,(D),34613,35528,37470,35151
85," ""37083""","Halifax, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,3212,2890,2971,3126,3125,3181,3483,4063,4103,4125,4324,4211,4125,(D),6004,6755,6826,4380
86," ""37085""","Harnett, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,17864,20032,20155,24474,25957,28519,30694,31565,31602,31687,34156,36231,37392,41226,43071,44611,48718,53001
87," ""37085""","Harnett, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,1214,1431,1238,1410,1236,1579,1843,1753,1643,1325,1649,1652,2183,2306,2449,3024,3076,2922
88," ""37087""","Haywood, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,29750,29900,30488,31687,31417,33473,35063,34774,33303,33838,34670,38355,39112,40252,42927,47788,48339,49408
89," ""37087""","Haywood, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,7418,6862,6558,6169,6084,7521,7662,6620,5578,5536,5604,6159,5911,5954,6401,6722,7411,7113
90," ""37089""","Henderson, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,48814,55995,60425,59246,59342,59544,65156,64433,60428,59963,59387,64461,68094,76827,81103,88865,92209,100590
91," ""37089""","Henderson, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,12296,13408,13433,14218,13104,13247,14552,15128,15034,14341,14251,16196,16759,19282,19740,22417,23468,26399
92," ""37091""","Hertford, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,7322,7576,7116,8002,8056,9078,9150,9178,9016,9024,9138,(D),(D),10138,11051,11254,(D),(D)
93," ""37091""","Hertford, NC",5.0,CAINC6N,1801.0,721,    Accommodation,Thousands of dollars,776,692,639,811,712,589,598,496,231,(D),(D),(D),(D),510,(D),(D),(D),(D)
94," ""37093""","Hoke, NC",5.0,CAINC6N,1800.0,72,   Accommodation and food services,Thousands of dollars,(D),(D),(D),2669,2926,(D),3589,4106,4684,4607,4919,5954,6066,6212,6717,6821,7687,8023
