GeoArea_FIPS	GeoArea_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
39015	BrownCounty	Professional and business services	2001	38053
39015	BrownCounty	Management of companies and enterprises	2001	17967
39015	BrownCounty	Administrative and support and waste management and remediation services	2001	11276
39015	BrownCounty	Educational services	2001	2557
39015	BrownCounty	Health care and social assistance	2001	31131
39015	BrownCounty	Arts, entertainment, and recreation	2001	1529
39015	BrownCounty	Accommodation and food services	2001	10561
39015	BrownCounty	Other services (except government and government enterprises)	2001	22756
39015	BrownCounty	Government and government enterprises	2001	105555
39017	ButlerCounty	Agriculture, forestry, fishing and hunting	2001	24060
39017	ButlerCounty	Mining, quarrying, and oil and gas extraction	2001	16322
39017	ButlerCounty	Utilities	2001	52219
39017	ButlerCounty	Construction	2001	576573
39017	ButlerCounty	Manufacturing	2001	1814608
39017	ButlerCounty	Wholesale trade	2001	1011762
39017	ButlerCounty	Retail trade	2001	721834
39017	ButlerCounty	Transportation and warehousing	2001	300090
39017	ButlerCounty	Information	2001	100380
39017	ButlerCounty	Finance and insurance	2001	768976
39017	ButlerCounty	Real estate and rental and leasing	2001	1091168
39017	ButlerCounty	Professional and business services	2001	606589
39017	ButlerCounty	Management of companies and enterprises	2001	30128
39017	ButlerCounty	Administrative and support and waste management and remediation services	2001	229744
39017	ButlerCounty	Educational services	2001	22183
39017	ButlerCounty	Health care and social assistance	2001	571698
39017	ButlerCounty	Arts, entertainment, and recreation	2001	32070
39017	ButlerCounty	Accommodation and food services	2001	211036
39017	ButlerCounty	Other services (except government and government enterprises)	2001	248617
39017	ButlerCounty	Government and government enterprises	2001	1076581
39019	CarrollCounty	Agriculture, forestry, fishing and hunting	2001	26591
39019	CarrollCounty	Mining, quarrying, and oil and gas extraction	2001	7738
39019	CarrollCounty	Utilities	2001	2539
39019	CarrollCounty	Construction	2001	29077
39019	CarrollCounty	Manufacturing	2001	94063
39019	CarrollCounty	Wholesale trade	2001	13417
39019	CarrollCounty	Retail trade	2001	30175
39019	CarrollCounty	Transportation and warehousing	2001	
39019	CarrollCounty	Information	2001	9966
39019	CarrollCounty	Finance and insurance	2001	17666
39019	CarrollCounty	Real estate and rental and leasing	2001	55134
39019	CarrollCounty	Professional and business services	2001	
39019	CarrollCounty	Management of companies and enterprises	2001	
39019	CarrollCounty	Administrative and support and waste management and remediation services	2001	4701
39019	CarrollCounty	Educational services	2001	
39019	CarrollCounty	Health care and social assistance	2001	
39019	CarrollCounty	Arts, entertainment, and recreation	2001	2498
39019	CarrollCounty	Accommodation and food services	2001	8024
39019	CarrollCounty	Other services (except government and government enterprises)	2001	16199
39019	CarrollCounty	Government and government enterprises	2001	46926
39021	ChampaignCounty	Agriculture, forestry, fishing and hunting	2001	27127
39021	ChampaignCounty	Mining, quarrying, and oil and gas extraction	2001	863
39021	ChampaignCounty	Utilities	2001	207
39021	ChampaignCounty	Construction	2001	17862
39021	ChampaignCounty	Manufacturing	2001	290499
39021	ChampaignCounty	Wholesale trade	2001	21607
39021	ChampaignCounty	Retail trade	2001	55221
39021	ChampaignCounty	Transportation and warehousing	2001	
39021	ChampaignCounty	Information	2001	11055
39021	ChampaignCounty	Finance and insurance	2001	42833
39021	ChampaignCounty	Real estate and rental and leasing	2001	114617
39021	ChampaignCounty	Professional and business services	2001	
39021	ChampaignCounty	Management of companies and enterprises	2001	
39021	ChampaignCounty	Administrative and support and waste management and remediation services	2001	7884
39021	ChampaignCounty	Educational services	2001	
39021	ChampaignCounty	Health care and social assistance	2001	
39021	ChampaignCounty	Arts, entertainment, and recreation	2001	4227
39021	ChampaignCounty	Accommodation and food services	2001	15556
39021	ChampaignCounty	Other services (except government and government enterprises)	2001	22925
39021	ChampaignCounty	Government and government enterprises	2001	99494
39023	ClarkCounty	Agriculture, forestry, fishing and hunting	2001	
39023	ClarkCounty	Mining, quarrying, and oil and gas extraction	2001	3237
39023	ClarkCounty	Utilities	2001	16909
39023	ClarkCounty	Construction	2001	105789
39023	ClarkCounty	Manufacturing	2001	964123
39023	ClarkCounty	Wholesale trade	2001	142884
39023	ClarkCounty	Retail trade	2001	294314
39023	ClarkCounty	Transportation and warehousing	2001	
39023	ClarkCounty	Information	2001	40117
39023	ClarkCounty	Finance and insurance	2001	153930
39023	ClarkCounty	Real estate and rental and leasing	2001	401519
39023	ClarkCounty	Professional and business services	2001	201243
39023	ClarkCounty	Management of companies and enterprises	2001	70568
39023	ClarkCounty	Administrative and support and waste management and remediation services	2001	57736
39023	ClarkCounty	Educational services	2001	36045
39023	ClarkCounty	Health care and social assistance	2001	338995
39023	ClarkCounty	Arts, entertainment, and recreation	2001	15037
39023	ClarkCounty	Accommodation and food services	2001	83859
39023	ClarkCounty	Other services (except government and government enterprises)	2001	130040
39023	ClarkCounty	Government and government enterprises	2001	422323
39025	ClermontCounty	Agriculture, forestry, fishing and hunting	2001	12460
39025	ClermontCounty	Mining, quarrying, and oil and gas extraction	2001	763
39025	ClermontCounty	Utilities	2001	641948
39025	ClermontCounty	Construction	2001	284714
39025	ClermontCounty	Manufacturing	2001	697785
39025	ClermontCounty	Wholesale trade	2001	285650
39025	ClermontCounty	Retail trade	2001	385585
39025	ClermontCounty	Transportation and warehousing	2001	47187
39025	ClermontCounty	Information	2001	196667
39025	ClermontCounty	Finance and insurance	2001	299160
39025	ClermontCounty	Real estate and rental and leasing	2001	488915
39025	ClermontCounty	Professional and business services	2001	287642
39025	ClermontCounty	Management of companies and enterprises	2001	25827
39025	ClermontCounty	Administrative and support and waste management and remediation services	2001	78334
39025	ClermontCounty	Educational services	2001	11946
39025	ClermontCounty	Health care and social assistance	2001	169101
39025	ClermontCounty	Arts, entertainment, and recreation	2001	20858
39025	ClermontCounty	Accommodation and food services	2001	92262
39025	ClermontCounty	Other services (except government and government enterprises)	2001	135560
39025	ClermontCounty	Government and government enterprises	2001	381163
39027	ClintonCounty	Agriculture, forestry, fishing and hunting	2001	23340
39027	ClintonCounty	Mining, quarrying, and oil and gas extraction	2001	286
39027	ClintonCounty	Utilities	2001	585
39027	ClintonCounty	Construction	2001	40113
39027	ClintonCounty	Manufacturing	2001	304943
39027	ClintonCounty	Wholesale trade	2001	38976
39027	ClintonCounty	Retail trade	2001	88815
39027	ClintonCounty	Transportation and warehousing	2001	
39027	ClintonCounty	Information	2001	33217
39027	ClintonCounty	Finance and insurance	2001	64683
39027	ClintonCounty	Real estate and rental and leasing	2001	128435
39027	ClintonCounty	Professional and business services	2001	40004
39027	ClintonCounty	Management of companies and enterprises	2001	10619
39027	ClintonCounty	Administrative and support and waste management and remediation services	2001	15105
39027	ClintonCounty	Educational services	2001	
39027	ClintonCounty	Health care and social assistance	2001	
39027	ClintonCounty	Arts, entertainment, and recreation	2001	2791
39027	ClintonCounty	Accommodation and food services	2001	22059
39027	ClintonCounty	Other services (except government and government enterprises)	2001	26859
39027	ClintonCounty	Government and government enterprises	2001	154676
39029	ColumbianaCounty	Agriculture, forestry, fishing and hunting	2001	8504
39029	ColumbianaCounty	Mining, quarrying, and oil and gas extraction	2001	16479
39029	ColumbianaCounty	Utilities	2001	7982
39029	ColumbianaCounty	Construction	2001	92822
39029	ColumbianaCounty	Manufacturing	2001	452291
39029	ColumbianaCounty	Wholesale trade	2001	75850
39029	ColumbianaCounty	Retail trade	2001	175520
39029	ColumbianaCounty	Transportation and warehousing	2001	110847
39029	ColumbianaCounty	Information	2001	24056
39029	ColumbianaCounty	Finance and insurance	2001	110758
39029	ColumbianaCounty	Real estate and rental and leasing	2001	232648
39029	ColumbianaCounty	Professional and business services	2001	125083
39029	ColumbianaCounty	Management of companies and enterprises	2001	
39029	ColumbianaCounty	Administrative and support and waste management and remediation services	2001	57362
39029	ColumbianaCounty	Educational services	2001	3105
39029	ColumbianaCounty	Health care and social assistance	2001	181447
39029	ColumbianaCounty	Arts, entertainment, and recreation	2001	7819
39029	ColumbianaCounty	Accommodation and food services	2001	44019
39029	ColumbianaCounty	Other services (except government and government enterprises)	2001	67866
39029	ColumbianaCounty	Government and government enterprises	2001	270728
39031	CoshoctonCounty	Agriculture, forestry, fishing and hunting	2001	10048
39031	CoshoctonCounty	Mining, quarrying, and oil and gas extraction	2001	22557
39031	CoshoctonCounty	Utilities	2001	365266
39031	CoshoctonCounty	Construction	2001	26069
39031	CoshoctonCounty	Manufacturing	2001	278301
39031	CoshoctonCounty	Wholesale trade	2001	12017
39031	CoshoctonCounty	Retail trade	2001	44708
39031	CoshoctonCounty	Transportation and warehousing	2001	31158
39031	CoshoctonCounty	Information	2001	9995
39031	CoshoctonCounty	Finance and insurance	2001	35439
39031	CoshoctonCounty	Real estate and rental and leasing	2001	74791
39031	CoshoctonCounty	Professional and business services	2001	59552
39031	CoshoctonCounty	Management of companies and enterprises	2001	18894
39031	CoshoctonCounty	Administrative and support and waste management and remediation services	2001	18005
39031	CoshoctonCounty	Educational services	2001	960
39031	CoshoctonCounty	Health care and social assistance	2001	62842
39031	CoshoctonCounty	Arts, entertainment, and recreation	2001	9472
39031	CoshoctonCounty	Accommodation and food services	2001	11208
39031	CoshoctonCounty	Other services (except government and government enterprises)	2001	24126
39031	CoshoctonCounty	Government and government enterprises	2001	80543
39033	CrawfordCounty	Agriculture, forestry, fishing and hunting	2001	47429
39033	CrawfordCounty	Mining, quarrying, and oil and gas extraction	2001	3254
39033	CrawfordCounty	Utilities	2001	1731
39033	CrawfordCounty	Construction	2001	42328
39033	CrawfordCounty	Manufacturing	2001	411106
39033	CrawfordCounty	Wholesale trade	2001	49756
39033	CrawfordCounty	Retail trade	2001	66566
39033	CrawfordCounty	Transportation and warehousing	2001	
39033	CrawfordCounty	Information	2001	8774
39033	CrawfordCounty	Finance and insurance	2001	72291
39033	CrawfordCounty	Real estate and rental and leasing	2001	105982
39033	CrawfordCounty	Professional and business services	2001	
39033	CrawfordCounty	Management of companies and enterprises	2001	
39033	CrawfordCounty	Administrative and support and waste management and remediation services	2001	
39033	CrawfordCounty	Educational services	2001	
39033	CrawfordCounty	Health care and social assistance	2001	
39033	CrawfordCounty	Arts, entertainment, and recreation	2001	2134
39033	CrawfordCounty	Accommodation and food services	2001	18494
39033	CrawfordCounty	Other services (except government and government enterprises)	2001	26608
39033	CrawfordCounty	Government and government enterprises	2001	108689
39035	CuyahogaCounty	Agriculture, forestry, fishing and hunting	2001	22892
39035	CuyahogaCounty	Mining, quarrying, and oil and gas extraction	2001	41984
39035	CuyahogaCounty	Utilities	2001	197570
39035	CuyahogaCounty	Construction	2001	1846627
39035	CuyahogaCounty	Manufacturing	2001	9739745
39035	CuyahogaCounty	Wholesale trade	2001	4318577
39035	CuyahogaCounty	Retail trade	2001	3944800
39035	CuyahogaCounty	Transportation and warehousing	2001	1588523
39035	CuyahogaCounty	Information	2001	2360744
39035	CuyahogaCounty	Finance and insurance	2001	6837149
39035	CuyahogaCounty	Real estate and rental and leasing	2001	8436568
39035	CuyahogaCounty	Professional and business services	2001	7544215
39035	CuyahogaCounty	Management of companies and enterprises	2001	1196530
39035	CuyahogaCounty	Administrative and support and waste management and remediation services	2001	1791334
39035	CuyahogaCounty	Educational services	2001	841441
39035	CuyahogaCounty	Health care and social assistance	2001	5029525
39035	CuyahogaCounty	Arts, entertainment, and recreation	2001	769829
39035	CuyahogaCounty	Accommodation and food services	2001	1417095
39035	CuyahogaCounty	Other services (except government and government enterprises)	2001	1504750
39035	CuyahogaCounty	Government and government enterprises	2001	6792092
39037	DarkeCounty	Agriculture, forestry, fishing and hunting	2001	70769
39037	DarkeCounty	Mining, quarrying, and oil and gas extraction	2001	607
39037	DarkeCounty	Utilities	2001	7661
39037	DarkeCounty	Construction	2001	88685
39037	DarkeCounty	Manufacturing	2001	358181
39037	DarkeCounty	Wholesale trade	2001	61578
39037	DarkeCounty	Retail trade	2001	87794
39037	DarkeCounty	Transportation and warehousing	2001	
39037	DarkeCounty	Information	2001	17884
39037	DarkeCounty	Finance and insurance	2001	84131
39037	DarkeCounty	Real estate and rental and leasing	2001	129262
39037	DarkeCounty	Professional and business services	2001	
39037	DarkeCounty	Management of companies and enterprises	2001	
39037	DarkeCounty	Administrative and support and waste management and remediation services	2001	15293
39037	DarkeCounty	Educational services	2001	
39037	DarkeCounty	Health care and social assistance	2001	
39037	DarkeCounty	Arts, entertainment, and recreation	2001	3384
39037	DarkeCounty	Accommodation and food services	2001	19876
39037	DarkeCounty	Other services (except government and government enterprises)	2001	39448
39037	DarkeCounty	Government and government enterprises	2001	110817
39039	DefianceCounty	Agriculture, forestry, fishing and hunting	2001	
39039	DefianceCounty	Mining, quarrying, and oil and gas extraction	2001	0
39039	DefianceCounty	Utilities	2001	4608
39039	DefianceCounty	Construction	2001	
39039	DefianceCounty	Manufacturing	2001	530533
39039	DefianceCounty	Wholesale trade	2001	35886
39039	DefianceCounty	Retail trade	2001	112915
39039	DefianceCounty	Transportation and warehousing	2001	
39039	DefianceCounty	Information	2001	32352
39039	DefianceCounty	Finance and insurance	2001	68937
39039	DefianceCounty	Real estate and rental and leasing	2001	85228
39039	DefianceCounty	Professional and business services	2001	54096
39039	DefianceCounty	Management of companies and enterprises	2001	23300
39039	DefianceCounty	Administrative and support and waste management and remediation services	2001	13064
39039	DefianceCounty	Educational services	2001	
39039	DefianceCounty	Health care and social assistance	2001	
39039	DefianceCounty	Arts, entertainment, and recreation	2001	4053
39039	DefianceCounty	Accommodation and food services	2001	22154
39039	DefianceCounty	Other services (except government and government enterprises)	2001	30134
39039	DefianceCounty	Government and government enterprises	2001	101014
39041	DelawareCounty	Agriculture, forestry, fishing and hunting	2001	
39041	DelawareCounty	Mining, quarrying, and oil and gas extraction	2001	10752
39041	DelawareCounty	Utilities	2001	6219
39041	DelawareCounty	Construction	2001	239446
39041	DelawareCounty	Manufacturing	2001	417117
39041	DelawareCounty	Wholesale trade	2001	186718
39041	DelawareCounty	Retail trade	2001	298427
39041	DelawareCounty	Transportation and warehousing	2001	
39041	DelawareCounty	Information	2001	39184
39041	DelawareCounty	Finance and insurance	2001	395417
39041	DelawareCounty	Real estate and rental and leasing	2001	348069
39041	DelawareCounty	Professional and business services	2001	422940
39041	DelawareCounty	Management of companies and enterprises	2001	73907
39041	DelawareCounty	Administrative and support and waste management and remediation services	2001	65106
39041	DelawareCounty	Educational services	2001	38327
39041	DelawareCounty	Health care and social assistance	2001	130675
39041	DelawareCounty	Arts, entertainment, and recreation	2001	54552
39041	DelawareCounty	Accommodation and food services	2001	78817
39041	DelawareCounty	Other services (except government and government enterprises)	2001	93188
39041	DelawareCounty	Government and government enterprises	2001	290969
39043	ErieCounty	Agriculture, forestry, fishing and hunting	2001	7306
39043	ErieCounty	Mining, quarrying, and oil and gas extraction	2001	16657
39043	ErieCounty	Utilities	2001	6533
39043	ErieCounty	Construction	2001	92247
39043	ErieCounty	Manufacturing	2001	953308
39043	ErieCounty	Wholesale trade	2001	130004
39043	ErieCounty	Retail trade	2001	172618
39043	ErieCounty	Transportation and warehousing	2001	
39043	ErieCounty	Information	2001	29344
39043	ErieCounty	Finance and insurance	2001	95193
39043	ErieCounty	Real estate and rental and leasing	2001	251839
39043	ErieCounty	Professional and business services	2001	
39043	ErieCounty	Management of companies and enterprises	2001	
39043	ErieCounty	Administrative and support and waste management and remediation services	2001	38849
39043	ErieCounty	Educational services	2001	6875
39043	ErieCounty	Health care and social assistance	2001	201160
39043	ErieCounty	Arts, entertainment, and recreation	2001	1147147
39043	ErieCounty	Accommodation and food services	2001	96206
39043	ErieCounty	Other services (except government and government enterprises)	2001	64601
39043	ErieCounty	Government and government enterprises	2001	294621
39045	FairfieldCounty	Agriculture, forestry, fishing and hunting	2001	22248
39045	FairfieldCounty	Mining, quarrying, and oil and gas extraction	2001	11369
39045	FairfieldCounty	Utilities	2001	12897
39045	FairfieldCounty	Construction	2001	170068
39045	FairfieldCounty	Manufacturing	2001	356640
39045	FairfieldCounty	Wholesale trade	2001	55442
39045	FairfieldCounty	Retail trade	2001	210105
39045	FairfieldCounty	Transportation and warehousing	2001	40723
39045	FairfieldCounty	Information	2001	29050
39045	FairfieldCounty	Finance and insurance	2001	125945
39045	FairfieldCounty	Real estate and rental and leasing	2001	327021
39045	FairfieldCounty	Professional and business services	2001	186976
39045	FairfieldCounty	Management of companies and enterprises	2001	27699
39045	FairfieldCounty	Administrative and support and waste management and remediation services	2001	87305
39045	FairfieldCounty	Educational services	2001	9769
39045	FairfieldCounty	Health care and social assistance	2001	159057
39045	FairfieldCounty	Arts, entertainment, and recreation	2001	12379
39045	FairfieldCounty	Accommodation and food services	2001	69983
39045	FairfieldCounty	Other services (except government and government enterprises)	2001	91108
39045	FairfieldCounty	Government and government enterprises	2001	394573
39047	FayetteCounty	Agriculture, forestry, fishing and hunting	2001	26453
39047	FayetteCounty	Mining, quarrying, and oil and gas extraction	2001	450
39047	FayetteCounty	Utilities	2001	
39047	FayetteCounty	Construction	2001	22498
39047	FayetteCounty	Manufacturing	2001	191124
39047	FayetteCounty	Wholesale trade	2001	
39047	FayetteCounty	Retail trade	2001	77958
39047	FayetteCounty	Transportation and warehousing	2001	36278
39047	FayetteCounty	Information	2001	6621
39047	FayetteCounty	Finance and insurance	2001	34753
39047	FayetteCounty	Real estate and rental and leasing	2001	78424
39047	FayetteCounty	Professional and business services	2001	12979
39047	FayetteCounty	Management of companies and enterprises	2001	0
39047	FayetteCounty	Administrative and support and waste management and remediation services	2001	5484
39047	FayetteCounty	Educational services	2001	
39047	FayetteCounty	Health care and social assistance	2001	
39047	FayetteCounty	Arts, entertainment, and recreation	2001	2669
39047	FayetteCounty	Accommodation and food services	2001	20823
39047	FayetteCounty	Other services (except government and government enterprises)	2001	14423
39047	FayetteCounty	Government and government enterprises	2001	78556
39049	FranklinCounty	Agriculture, forestry, fishing and hunting	2001	34726
39049	FranklinCounty	Mining, quarrying, and oil and gas extraction	2001	28449
39049	FranklinCounty	Utilities	2001	263902
39049	FranklinCounty	Construction	2001	2175187
39049	FranklinCounty	Manufacturing	2001	5034770
39049	FranklinCounty	Wholesale trade	2001	3271762
39049	FranklinCounty	Retail trade	2001	4672746
39049	FranklinCounty	Transportation and warehousing	2001	1662505
39049	FranklinCounty	Information	2001	2663565
39049	FranklinCounty	Finance and insurance	2001	5501672
39049	FranklinCounty	Real estate and rental and leasing	2001	7069058
39049	FranklinCounty	Professional and business services	2001	6922581
39049	FranklinCounty	Management of companies and enterprises	2001	1236695
39049	FranklinCounty	Administrative and support and waste management and remediation services	2001	1943224
39049	FranklinCounty	Educational services	2001	361284
39049	FranklinCounty	Health care and social assistance	2001	3466577
39049	FranklinCounty	Arts, entertainment, and recreation	2001	339750
