,County	Sales	Data_Period_Business_Key
411,Motor Vehicle Lease (Short-Term)	0.0	2020M02
412,Motor Vehicle Leasing	0.0	2018M12
413,Motor Vehicle Leasing	0.0	2018M12
414,Nash	97686404.0	2018M12
415,Nash	97686404.0	2018M12
416,Nash	87166283.0	2020M02
417,New Hanover	440632480.0	2018M12
418,New Hanover	388719381.0	2020M02
419,New Hanover	440632480.0	2018M12
420,Northampton	8822616.0	2018M12
421,Northampton	7732839.0	2020M02
422,Northampton	8822616.0	2018M12
423,Onslow	175968074.0	2020M02
424,Onslow	209559140.0	2018M12
425,Onslow	209559140.0	2018M12
426,Orange	156713882.0	2018M12
427,Orange	156713882.0	2018M12
428,Orange	158923721.0	2020M02
429,Pamlico	8303959.0	2018M12
430,Pamlico	8303959.0	2018M12
431,Pamlico	7403886.0	2020M02
432,Pasquotank	40669174.0	2020M02
433,Pasquotank	44026924.0	2018M12
434,Pasquotank	44026924.0	2018M12
435,Pender	38330455.0	2020M02
436,Pender	43278665.0	2018M12
437,Pender	43278665.0	2018M12
438,Perquimans	5365667.0	2018M12
439,Perquimans	5365667.0	2018M12
440,Perquimans	5975293.0	2020M02
441,Person	25634380.0	2020M02
442,Person	30292414.0	2018M12
443,Person	30292414.0	2018M12
444,Pitt	213796359.0	2018M12
445,Pitt	204579108.0	2020M02
446,Pitt	213796359.0	2018M12
447,Polk	12066770.0	2018M12
448,Polk	12066770.0	2018M12
449,Polk	11988884.0	2020M02
450,Randolph	103484550.0	2018M12
451,Randolph	103484550.0	2018M12
452,Randolph	97639598.0	2020M02
453,Richmond	31786673.0	2020M02
454,Richmond	32638485.0	2018M12
455,Richmond	32638485.0	2018M12
456,Robeson	83264686.0	2020M02
457,Robeson	100493422.0	2018M12
458,Robeson	100493422.0	2018M12
459,Rockingham	57357947.0	2020M02
460,Rockingham	63832379.0	2018M12
461,Rockingham	63832379.0	2018M12
462,Rowan	120431261.0	2018M12
463,Rowan	119042586.0	2020M02
464,Rowan	120431261.0	2018M12
465,Rutherford	54801959.0	2018M12
466,Rutherford	54801959.0	2018M12
467,Rutherford	48751784.0	2020M02
468,Sampson	43662340.0	2018M12
469,Sampson	43662340.0	2018M12
470,Sampson	39081982.0	2020M02
471,Scotland	24401881.0	2020M02
472,Scotland	28973546.0	2018M12
473,Scotland	28973546.0	2018M12
474,Stanly	53470660.0	2018M12
475,Stanly	53470660.0	2018M12
476,Stanly	53930066.0	2020M02
477,Stokes	22437801.0	2020M02
478,Stokes	22829096.0	2018M12
479,Stokes	22829096.0	2018M12
480,Surry	82464100.0	2018M12
481,Surry	73140000.0	2020M02
482,Surry	82464100.0	2018M12
483,Swain	11779171.0	2018M12
484,Swain	11779171.0	2018M12
485,Swain	10063369.0	2020M02
486,Transylvania	29397733.0	2018M12
487,Transylvania	26641403.0	2020M02
488,Transylvania	29397733.0	2018M12
489,Tyrrell	1684928.0	2020M02
490,Tyrrell	1725828.0	2018M12
491,Tyrrell	1725828.0	2018M12
492,Union	174583437.0	2020M02
493,Union	181552761.0	2018M12
494,Union	181552761.0	2018M12
495,Vance	36341909.0	2018M12
496,Vance	32840417.0	2020M02
497,Vance	36341909.0	2018M12
498,Wake	1619440639.0	2020M02
499,Wake	1708528989.0	2018M12
500,Wake	1708528989.0	2018M12
501,Warren	6941787.0	2020M02
502,Warren	6754219.0	2018M12
503,Warren	6754219.0	2018M12
504,Washington	7178160.0	2018M12
505,Washington	7178160.0	2018M12
506,Washington	6144573.0	2020M02
507,Watauga	76372416.0	2018M12
508,Watauga	76372416.0	2018M12
509,Watauga	75039865.0	2020M02
510,Wayne	108811690.0	2018M12
511,Wayne	101885934.0	2020M02
512,Wayne	108811690.0	2018M12
513,Wilkes	58453493.0	2018M12
514,Wilkes	51918347.0	2020M02
515,Wilkes	58453493.0	2018M12
516,Wilson	87575365.0	2018M12
517,Wilson	89964242.0	2020M02
518,Wilson	87575365.0	2018M12
519,Yadkin	19229065.0	2018M12
520,Yadkin	18581222.0	2020M02
521,Yadkin	19229065.0	2018M12
522,Yancey	10623202.0	2020M02
523,Yancey	11993499.0	2018M12
524,Yancey	11993499.0	2018M12
