,County	Collections	Data_Period_Business_Key
262,Franklin	1785232.0	2018M12
263,Franklin	1785232.0	2018M12
264,Franklin	1785232.0	2018M12
265,Franklin	1910100.0	2020M02
266,Franklin	1785232.0	2018M12
267,Gaston	9443366.0	2018M12
268,Gaston	9443366.0	2018M12
269,Gaston	9564774.0	2020M02
270,Gaston	9443366.0	2018M12
271,Gaston	9443366.0	2018M12
272,Gaston	9564774.0	2020M02
273,Gates	152072.0	2018M12
274,Gates	152072.0	2018M12
275,Gates	163002.0	2020M02
276,Gates	152072.0	2018M12
277,Gates	163002.0	2020M02
278,Gates	152072.0	2018M12
279,Graham	255739.0	2018M12
280,Graham	255739.0	2018M12
281,Graham	240611.0	2020M02
282,Graham	240611.0	2020M02
283,Graham	255739.0	2018M12
284,Graham	255739.0	2018M12
285,Granville	1540762.0	2018M12
286,Granville	1540762.0	2018M12
287,Granville	1540762.0	2018M12
288,Granville	1461779.0	2020M02
289,Granville	1540762.0	2018M12
290,Granville	1461779.0	2020M02
291,Greene	295271.0	2018M12
292,Greene	295271.0	2018M12
293,Greene	295271.0	2018M12
294,Greene	322503.0	2020M02
295,Greene	322503.0	2020M02
296,Greene	295271.0	2018M12
297,Guilford	31673609.0	2018M12
298,Guilford	31673609.0	2018M12
299,Guilford	31673609.0	2018M12
300,Guilford	31673609.0	2018M12
301,Guilford	28638758.0	2020M02
302,Guilford	28638758.0	2020M02
303,Halifax	2688601.0	2018M12
304,Halifax	2688601.0	2018M12
305,Halifax	2688601.0	2018M12
306,Halifax	1861934.0	2020M02
307,Halifax	2688601.0	2018M12
308,Halifax	1861934.0	2020M02
309,Harnett	3869286.0	2018M12
310,Harnett	3869286.0	2018M12
311,Harnett	3869286.0	2018M12
312,Harnett	3869286.0	2018M12
313,Harnett	4004368.0	2020M02
314,Harnett	4004368.0	2020M02
315,Haywood	2949420.0	2020M02
316,Haywood	3115780.0	2018M12
317,Haywood	3115780.0	2018M12
318,Haywood	2949420.0	2020M02
319,Haywood	3115780.0	2018M12
