Region Code	Region Name	Measure Name	Date	Estimated Value
46017	Buffalo County, SD	Homeownership Rate	2009-01-01	28.072692491630796
55011	Buffalo County, WI	Homeownership Rate	2009-01-01	83.07341474179786
21029	Bullitt County, KY	Homeownership Rate	2009-01-01	84.66612834795461
13031	Bulloch County, GA	Homeownership Rate	2009-01-01	60.64054969389085
01011	Bullock County, AL	Homeownership Rate	2009-01-01	69.09296624552141
37021	Buncombe County, NC	Homeownership Rate	2009-01-01	69.96044894797868
17011	Bureau County, IL	Homeownership Rate	2009-01-01	77.21474648997344
38013	Burke County, ND	Homeownership Rate	2009-01-01	81.89442525900346
13033	Burke County, GA	Homeownership Rate	2009-01-01	70.1413268521019
37023	Burke County, NC	Homeownership Rate	2009-01-01	75.62243213821681
38015	Burleigh County, ND	Homeownership Rate	2009-01-01	76.51132573372806
48051	Burleson County, TX	Homeownership Rate	2009-01-01	81.33421559191531
34005	Burlington County, NJ	Homeownership Rate	2009-01-01	82.37024565558264
48053	Burnet County, TX	Homeownership Rate	2009-01-01	74.91313083559862
55013	Burnett County, WI	Homeownership Rate	2009-01-01	83.53917284185192
31021	Burt County, NE	Homeownership Rate	2009-01-01	77.10170487948265
21031	Butler County, KY	Homeownership Rate	2009-01-01	80.98896918980601
42019	Butler County, PA	Homeownership Rate	2009-01-01	82.12272923936192
39017	Butler County, OH	Homeownership Rate	2009-01-01	73.51890504504821
20015	Butler County, KS	Homeownership Rate	2009-01-01	80.53055268637385
31023	Butler County, NE	Homeownership Rate	2009-01-01	79.64612421762158
01013	Butler County, AL	Homeownership Rate	2009-01-01	70.25903101357784
29023	Butler County, MO	Homeownership Rate	2009-01-01	68.36836586948924
19023	Butler County, IA	Homeownership Rate	2009-01-01	80.51547835831349
16023	Butte County, ID	Homeownership Rate	2009-01-01	80.03623188405797
46019	Butte County, SD	Homeownership Rate	2009-01-01	78.84778911564626
06007	Butte County, CA	Homeownership Rate	2009-01-01	60.86144606578144
13035	Butts County, GA	Homeownership Rate	2009-01-01	75.71507658239528
37025	Cabarrus County, NC	Homeownership Rate	2009-01-01	74.66005718780826
54011	Cabell County, WV	Homeownership Rate	2009-01-01	67.1771813966559
49005	Cache County, UT	Homeownership Rate	2009-01-01	67.17587188944395
40015	Caddo County, OK	Homeownership Rate	2009-01-01	70.64216858737407
22017	Caddo Parish, LA	Homeownership Rate	2009-01-01	64.45820762073512
06009	Calaveras County, CA	Homeownership Rate	2009-01-01	78.08328826392645
22019	Calcasieu Parish, LA	Homeownership Rate	2009-01-01	72.96903601013626
48055	Caldwell County, TX	Homeownership Rate	2009-01-01	69.54953343469576
37027	Caldwell County, NC	Homeownership Rate	2009-01-01	76.903988334314
21033	Caldwell County, KY	Homeownership Rate	2009-01-01	79.9875214475121
29025	Caldwell County, MO	Homeownership Rate	2009-01-01	73.96936246902456
22021	Caldwell Parish, LA	Homeownership Rate	2009-01-01	78.29238824003222
50005	Caledonia County, VT	Homeownership Rate	2009-01-01	73.70994767978661
48057	Calhoun County, TX	Homeownership Rate	2009-01-01	75.72109478649698
26025	Calhoun County, MI	Homeownership Rate	2009-01-01	75.7570764079786
28013	Calhoun County, MS	Homeownership Rate	2009-01-01	69.99162946428571
05013	Calhoun County, AR	Homeownership Rate	2009-01-01	84.29125854740343
13037	Calhoun County, GA	Homeownership Rate	2009-01-01	69.0255969025597
19025	Calhoun County, IA	Homeownership Rate	2009-01-01	81.98589256646771
45017	Calhoun County, SC	Homeownership Rate	2009-01-01	82.76073619631902
01015	Calhoun County, AL	Homeownership Rate	2009-01-01	73.02971986710482
12013	Calhoun County, FL	Homeownership Rate	2009-01-01	74.65361967440249
54013	Calhoun County, WV	Homeownership Rate	2009-01-01	77.60800111126545
17013	Calhoun County, IL	Homeownership Rate	2009-01-01	80.35925779707857
48059	Callahan County, TX	Homeownership Rate	2009-01-01	82.99788135593221
29027	Callaway County, MO	Homeownership Rate	2009-01-01	80.37212603614793
21035	Calloway County, KY	Homeownership Rate	2009-01-01	70.90753842400585
55015	Calumet County, WI	Homeownership Rate	2009-01-01	85.86117668422008
24009	Calvert County, MD	Homeownership Rate	2009-01-01	87.47440077798753
16025	Camas County, ID	Homeownership Rate	2009-01-01	75.76923076923077
42021	Cambria County, PA	Homeownership Rate	2009-01-01	77.96231865029868
13039	Camden County, GA	Homeownership Rate	2009-01-01	68.7588753195115
37029	Camden County, NC	Homeownership Rate	2009-01-01	80.69333333333333
34007	Camden County, NJ	Homeownership Rate	2009-01-01	74.2034412755977
29029	Camden County, MO	Homeownership Rate	2009-01-01	81.15473907338246
48061	Cameron County, TX	Homeownership Rate	2009-01-01	69.46201450121194
22023	Cameron Parish, LA	Homeownership Rate	2009-01-01	86.63679493937796
42023	Cameron County, PA	Homeownership Rate	2009-01-01	74.10457766711357
48063	Camp County, TX	Homeownership Rate	2009-01-01	61.566979733069694
46021	Campbell County, SD	Homeownership Rate	2009-01-01	84.48275862068965
47013	Campbell County, TN	Homeownership Rate	2009-01-01	73.84106789551453
21037	Campbell County, KY	Homeownership Rate	2009-01-01	77.4198566454068
51031	Campbell County, VA	Homeownership Rate	2009-01-01	75.67432854705443
56005	Campbell County, WY	Homeownership Rate	2009-01-01	78.39651957737726
40017	Canadian County, OK	Homeownership Rate	2009-01-01	79.49447203973722
13043	Candler County, GA	Homeownership Rate	2009-01-01	67.13643178410794
47015	Cannon County, TN	Homeownership Rate	2009-01-01	74.41147896270832
16027	Canyon County, ID	Homeownership Rate	2009-01-01	71.3943244831579
29031	Cape Girardeau County, MO	Homeownership Rate	2009-01-01	72.14580269342792
34009	Cape May County, NJ	Homeownership Rate	2009-01-01	75.55447182053348
